Survived,Pclass,Embarked,Sex,Age,SibSp,Parch,Fare
0,3,S,male,28,0,0,7.8958
1,3,S,female,21,0,0,7.65
1,3,S,male,,0,0,7.775
0,3,S,male,38,0,0,7.8958
1,3,Q,female,,1,0,24.15
0,1,S,male,47,0,0,52
0,3,C,female,14.5,1,0,14.4542
0,3,S,male,22,0,0,8.05
0,3,S,female,20,1,0,9.825
0,3,C,female,17,0,0,14.4583
0,3,S,male,21,0,0,7.925
0,3,Q,male,70.5,0,0,7.75
0,2,S,male,29,1,0,21
0,1,C,male,24,0,1,247.5208
0,3,S,female,2,4,2,31.275
0,2,S,male,21,2,0,73.5
0,3,S,male,,0,0,8.05
0,2,C,male,32.5,1,0,30.0708
1,2,S,female,32.5,0,0,13
0,1,S,male,54,0,1,77.2875
1,3,C,male,12,1,0,11.2417
0,3,Q,male,,0,0,7.75
1,3,S,male,24,0,0,7.1417
1,3,C,female,,1,1,22.3583
0,3,S,male,45,0,0,6.975
0,3,C,male,33,0,0,7.8958
0,3,S,male,20,0,0,7.05
0,3,S,female,47,1,0,14.5
1,2,S,female,29,1,0,26
0,2,S,male,25,0,0,13
0,2,C,male,23,0,0,15.0458
1,1,S,female,19,0,2,26.2833
0,1,S,male,37,1,0,53.1
0,3,S,male,16,0,0,9.2167
0,1,C,male,24,0,0,79.2
0,3,C,female,,0,2,15.2458
1,3,S,female,22,0,0,7.75
1,3,S,female,24,1,0,15.85
0,3,Q,male,19,0,0,6.75
0,2,S,male,18,0,0,11.5
0,2,S,male,19,1,1,36.75
1,3,S,male,27,0,0,7.7958
0,3,S,female,9,2,2,34.375
0,2,S,male,36.5,0,2,26
0,2,S,male,42,0,0,13
0,2,S,male,51,0,0,12.525
1,1,S,female,22,1,0,66.6
0,3,S,male,55.5,0,0,8.05
0,3,S,male,40.5,0,2,14.5
0,3,S,male,,0,0,7.3125
0,1,C,male,51,0,1,61.3792
1,3,Q,female,16,0,0,7.7333
0,3,S,male,30,0,0,8.05
0,3,S,male,,0,0,8.6625
0,3,S,male,,8,2,69.55
0,3,S,male,44,0,1,16.1
1,2,S,female,40,0,0,15.75
0,3,S,male,26,0,0,7.775
0,3,S,male,17,0,0,8.6625
0,3,S,male,1,4,1,39.6875
1,3,S,male,9,0,2,20.525
1,1,S,female,,0,1,55
0,3,S,female,45,1,4,27.9
0,1,S,male,,0,0,25.925
0,3,S,male,28,0,0,56.4958
0,1,S,male,61,0,0,33.5
0,3,Q,male,4,4,1,29.125
1,3,S,female,1,1,1,11.1333
0,3,S,male,21,0,0,7.925
0,1,C,male,56,0,0,30.6958
0,3,S,male,18,1,1,7.8542
0,3,S,male,,3,1,25.4667
0,1,C,female,50,0,0,28.7125
0,2,S,male,30,0,0,13
0,3,S,male,36,0,0,0
0,3,S,female,,8,2,69.55
0,2,C,male,,0,0,15.05
0,3,S,male,9,4,2,31.3875
1,2,S,male,1,2,1,39
1,3,S,female,4,0,2,22.025
0,1,S,male,,0,0,50
1,3,Q,female,,1,0,15.5
1,1,S,male,45,0,0,26.55
0,3,Q,male,40,1,1,15.5
0,3,S,male,36,0,0,7.8958
1,2,S,female,32,0,0,13
0,2,S,male,19,0,0,13
1,3,S,female,19,1,0,7.8542
1,2,S,male,3,1,1,26
1,1,C,female,44,0,0,27.7208
1,1,C,female,58,0,0,146.5208
0,3,Q,male,,0,0,7.75
0,3,S,male,42,0,1,8.4042
1,3,Q,female,,0,0,7.75
0,2,S,female,24,0,0,13
0,3,S,male,28,0,0,9.5
0,3,S,male,,8,2,69.55
0,3,S,male,34,0,0,6.4958
0,3,C,male,45.5,0,0,7.225
1,3,S,male,18,0,0,8.05
0,3,S,female,2,0,1,10.4625
0,3,S,male,32,1,0,15.85
1,3,C,male,26,0,0,18.7875
1,3,Q,female,16,0,0,7.75
1,1,C,male,40,0,0,31
0,3,S,male,24,0,0,7.05
1,2,S,female,35,0,0,21
0,3,S,male,22,0,0,7.25
0,2,S,male,30,0,0,13
0,3,Q,male,,1,0,7.75
1,1,C,female,31,1,0,113.275
1,3,S,female,27,0,0,7.925
0,2,S,male,42,1,0,27
1,1,C,female,32,0,0,76.2917
0,2,S,male,30,0,0,10.5
1,3,S,male,16,0,0,8.05
0,2,S,male,27,0,0,13
0,3,S,male,51,0,0,8.05
0,3,S,male,,0,0,7.8958
1,1,S,male,38,1,0,90
0,3,S,male,22,0,0,9.35
1,2,S,male,19,0,0,10.5
0,3,S,male,20.5,0,0,7.25
0,2,S,male,18,0,0,13
0,3,S,female,,3,1,25.4667
1,1,S,female,35,1,0,83.475
0,3,S,male,29,0,0,7.775
0,2,S,male,59,0,0,13.5
1,3,S,female,5,4,2,31.3875
0,2,S,male,24,0,0,10.5
0,3,S,female,,0,0,7.55
0,2,S,male,44,1,0,26
1,2,S,female,8,0,2,26.25
0,2,S,male,19,0,0,10.5
0,2,S,male,33,0,0,12.275
0,3,C,female,,1,0,14.4542
1,3,Q,female,,1,0,15.5
0,2,S,male,29,0,0,10.5
0,3,S,male,22,0,0,7.125
0,3,C,male,30,0,0,7.225
0,1,Q,male,44,2,0,90
0,3,S,female,25,0,0,7.775
1,2,S,female,24,0,2,14.5
1,1,S,male,37,1,1,52.5542
0,2,S,male,54,1,0,26
0,3,S,male,,0,0,7.25
0,3,S,female,29,1,1,10.4625
0,1,S,male,62,0,0,26.55
0,3,S,male,30,1,0,16.1
0,3,S,female,41,0,2,20.2125
1,3,C,female,29,0,2,15.2458
1,1,C,female,,0,0,79.2
1,1,S,female,30,0,0,86.5
1,1,C,female,35,0,0,512.3292
1,2,S,female,50,0,1,26
0,3,Q,male,,0,0,7.75
1,3,S,male,3,4,2,31.3875
0,1,S,male,52,1,1,79.65
0,1,S,male,40,0,0,0
0,3,Q,female,,0,0,7.75
0,2,S,male,36,0,0,10.5
0,3,S,male,16,4,1,39.6875
1,3,S,male,25,1,0,7.775
1,1,S,female,58,0,1,153.4625
1,1,S,female,35,0,0,135.6333
0,1,S,male,,0,0,31
1,3,S,male,25,0,0,0
1,2,S,female,41,0,1,19.5
0,1,C,male,37,0,1,29.7
1,3,Q,female,,0,0,7.75
1,1,S,female,63,1,0,77.9583
0,3,S,female,45,0,0,7.75
0,2,S,male,,0,0,0
0,3,Q,male,7,4,1,29.125
1,3,S,female,35,1,1,20.25
0,3,Q,male,65,0,0,7.75
0,3,S,male,28,0,0,7.8542
0,3,S,male,16,0,0,9.5
1,3,S,male,19,0,0,8.05
0,1,S,male,,0,0,26
0,3,C,male,33,0,0,8.6625
1,3,S,male,30,0,0,9.5
0,3,S,male,22,0,0,7.8958
1,2,S,male,42,0,0,13
1,3,Q,female,22,0,0,7.75
1,1,S,female,26,0,0,78.85
1,1,C,female,19,1,0,91.0792
0,2,C,male,36,0,0,12.875
0,3,S,female,24,0,0,8.85
0,3,S,male,24,0,0,7.8958
0,1,C,male,,0,0,27.7208
0,3,C,male,23.5,0,0,7.2292
0,1,S,female,2,1,2,151.55
1,1,S,male,,0,0,30.5
1,1,C,female,50,0,1,247.5208
1,3,Q,female,,0,0,7.75
1,3,Q,male,,2,0,23.25
0,3,S,male,19,0,0,0
1,2,Q,female,,0,0,12.35
0,3,S,male,,0,0,8.05
1,1,S,male,0.92,1,2,151.55
1,1,C,female,,0,0,110.8833
1,1,C,female,17,1,0,108.9
0,2,C,male,30,1,0,24
1,1,C,female,30,0,0,56.9292
1,1,C,female,24,0,0,83.1583
1,1,C,female,18,2,2,262.375
0,2,S,female,26,1,1,26
0,3,S,male,28,0,0,7.8958
0,2,S,male,43,1,1,26.25
1,3,S,female,26,0,0,7.8542
1,2,S,female,24,1,0,26
0,2,S,male,54,0,0,14
1,1,S,female,31,0,2,164.8667
1,1,C,female,40,1,1,134.5
0,3,S,male,22,0,0,7.25
0,3,S,male,27,0,0,7.8958
1,2,Q,female,30,0,0,12.35
1,2,S,female,22,1,1,29
0,3,S,male,,8,2,69.55
1,1,C,female,36,0,0,135.6333
0,3,S,male,61,0,0,6.2375
1,2,S,female,36,0,0,13
1,3,S,female,31,1,1,20.525
1,1,C,female,16,0,1,57.9792
1,3,Q,female,,2,0,23.25
0,1,S,male,45.5,0,0,28.5
0,1,S,male,38,0,1,153.4625
0,3,S,male,16,2,0,18
1,1,S,female,,1,0,133.65
0,3,S,male,,0,0,7.8958
0,1,S,male,29,1,0,66.6
1,1,C,female,41,0,0,134.5
1,3,S,male,45,0,0,8.05
0,1,S,male,45,0,0,35.5
1,2,S,male,2,1,1,26
1,1,S,female,24,3,2,263
0,2,S,male,28,0,0,13
0,2,S,male,25,0,0,13
0,2,S,male,36,0,0,13
1,2,S,female,24,0,0,13
1,2,S,female,40,0,0,13
1,3,S,female,,1,0,16.1
1,3,S,male,3,1,1,15.9
0,3,S,male,42,0,0,8.6625
0,3,S,male,23,0,0,9.225
0,1,S,male,,0,0,35
0,3,C,male,15,1,1,7.2292
0,3,S,male,25,1,0,17.8
0,3,C,male,,0,0,7.225
0,3,S,male,28,0,0,9.5
1,1,S,female,22,0,1,55
0,2,S,female,38,0,0,13
1,3,Q,female,,0,0,7.8792
1,3,Q,female,,0,0,7.8792
0,3,S,male,40,1,4,27.9
0,2,C,male,29,1,0,27.7208
0,3,C,female,45,0,1,14.4542
0,3,S,male,35,0,0,7.05
0,3,Q,male,,1,0,15.5
0,3,S,male,30,0,0,7.25
1,1,C,female,60,1,0,75.25
1,3,C,female,,0,0,7.2292
1,3,Q,female,,0,0,7.75
1,1,C,female,24,0,0,69.3
1,1,C,male,25,1,0,55.4417
0,3,S,male,18,1,0,6.4958
0,3,S,male,19,0,0,8.05
0,1,C,male,22,0,0,135.6333
0,3,S,female,3,3,1,21.075
1,1,C,female,,1,0,82.1708
1,3,S,female,22,0,0,7.25
0,1,C,male,27,0,2,211.5
0,3,C,male,20,0,0,4.0125
0,3,S,male,19,0,0,7.775
1,1,C,female,42,0,0,227.525
1,3,C,female,1,0,2,15.7417
0,3,S,male,32,0,0,7.925
1,1,S,female,35,1,0,52
0,3,S,male,,0,0,7.8958
0,2,S,male,18,0,0,73.5
0,3,S,male,1,5,2,46.9
1,2,S,female,36,0,0,13
0,3,Q,male,,0,0,7.7292
1,2,C,female,17,0,0,12
1,1,S,male,36,1,2,120
1,3,S,male,21,0,0,7.7958
0,3,S,male,28,2,0,7.925
1,1,C,female,23,1,0,113.275
1,3,S,female,24,0,2,16.7
0,3,S,male,22,0,0,7.7958
0,3,S,female,31,0,0,7.8542
0,2,S,male,46,0,0,26
0,2,S,male,23,0,0,10.5
1,2,S,female,28,0,0,12.65
1,3,S,male,39,0,0,7.925
0,3,S,male,26,0,0,8.05
0,3,S,female,21,1,0,9.825
0,3,S,male,28,1,0,15.85
0,3,S,female,20,0,0,8.6625
0,2,S,male,34,1,0,21
0,3,S,male,51,0,0,7.75
1,2,S,male,3,1,1,18.75
0,3,S,male,21,0,0,7.775
0,3,S,female,,3,1,25.4667
0,3,S,male,,0,0,7.8958
0,3,Q,male,,0,0,6.8583
1,1,Q,female,33,1,0,90
0,2,S,male,,0,0,0
1,3,S,male,44,0,0,7.925
0,3,S,female,,0,0,8.05
1,2,S,female,34,1,1,32.5
1,2,S,female,18,0,2,13
0,2,S,male,30,0,0,13
0,3,S,female,10,0,2,24.15
0,3,C,male,,0,0,7.8958
0,3,Q,male,21,0,0,7.7333
0,3,S,male,29,0,0,7.875
0,3,S,female,28,1,1,14.4
0,3,S,male,18,1,1,20.2125
0,3,S,male,,0,0,7.25
1,2,S,female,28,1,0,26
1,2,S,female,19,0,0,26
0,3,Q,male,,0,0,7.75
1,3,S,male,32,0,0,8.05
1,1,S,male,28,0,0,26.55
1,3,S,female,,1,0,16.1
1,2,S,female,42,1,0,26
0,3,S,male,17,0,0,7.125
0,1,S,male,50,1,0,55.9
1,1,S,female,14,1,2,120
0,3,S,female,21,2,2,34.375
1,2,S,female,24,2,3,18.75
0,1,S,male,64,1,4,263
0,2,S,male,31,0,0,10.5
1,2,S,female,45,1,1,26.25
0,3,S,male,20,0,0,9.5
0,3,S,male,25,1,0,7.775
1,2,S,female,28,0,0,13
1,3,S,male,,0,0,8.1125
1,1,S,male,4,0,2,81.8583
1,2,S,female,13,0,1,19.5
1,1,S,male,34,0,0,26.55
1,3,C,female,5,2,1,19.2583
1,1,S,male,52,0,0,30.5
0,2,S,male,36,1,2,27.75
0,3,S,male,,1,0,19.9667
0,1,C,male,30,0,0,27.75
1,1,C,male,49,1,0,89.1042
0,3,S,male,,0,0,8.05
1,3,C,male,29,0,0,7.8958
0,1,S,male,65,0,0,26.55
1,1,S,female,,1,0,51.8625
1,2,S,female,50,0,0,10.5
0,3,Q,male,,0,0,7.75
1,1,S,male,48,0,0,26.55
0,3,S,male,34,0,0,8.05
0,1,S,male,47,0,0,38.5
0,2,S,male,48,0,0,13
0,3,S,male,,0,0,8.05
0,3,S,male,38,0,0,7.05
0,2,S,male,,0,0,0
0,1,S,male,56,0,0,26.55
0,3,Q,male,,0,0,7.725
1,3,C,female,0.75,2,1,19.2583
0,3,S,male,,0,0,7.25
0,3,S,male,38,0,0,8.6625
1,2,S,female,33,1,2,27.75
1,2,C,female,23,0,0,13.7917
0,3,S,female,22,0,0,9.8375
0,1,S,male,,0,0,52
0,2,S,male,34,1,0,21
0,3,S,male,29,1,0,7.0458
0,3,S,male,22,0,0,7.5208
1,3,S,female,2,0,1,12.2875
0,3,S,male,9,5,2,46.9
0,2,S,male,,0,0,0
0,3,S,male,50,0,0,8.05
1,3,S,female,63,0,0,9.5875
1,1,C,male,25,1,0,91.0792
0,3,S,female,,3,1,25.4667
1,1,S,female,35,1,0,90
0,1,C,male,58,0,0,29.7
0,3,S,male,30,0,0,8.05
1,3,S,male,9,1,1,15.9
0,3,S,male,,1,0,19.9667
0,3,S,male,21,0,0,7.25
0,1,S,male,55,0,0,30.5
0,1,C,male,71,0,0,49.5042
0,3,S,male,21,0,0,8.05
0,3,C,male,,0,0,14.4583
1,1,C,female,54,1,0,78.2667
0,3,S,male,,0,0,15.1
0,1,S,female,25,1,2,151.55
0,3,S,male,24,0,0,7.7958
0,3,S,male,17,0,0,8.6625
0,3,Q,female,21,0,0,7.75
0,3,Q,female,,0,0,7.6292
0,3,S,female,37,0,0,9.5875
1,1,S,female,16,0,0,86.5
0,1,C,male,18,1,0,108.9
1,2,S,female,33,0,2,26
1,1,S,male,,0,0,26.55
0,3,S,male,28,0,0,22.525
1,3,S,male,26,0,0,56.4958
1,3,Q,male,29,0,0,7.75
0,3,S,male,,0,0,8.05
1,1,S,male,36,0,0,26.2875
1,1,C,female,54,1,0,59.4
0,3,S,male,24,0,0,7.4958
0,1,S,male,47,0,0,34.0208
1,2,S,female,34,0,0,10.5
0,3,Q,male,,0,0,24.15
1,2,S,female,36,1,0,26
0,3,S,male,32,0,0,7.8958
1,1,S,female,30,0,0,93.5
0,3,S,male,22,0,0,7.8958
0,3,C,male,,0,0,7.225
1,1,C,female,44,0,1,57.9792
0,3,C,male,,0,0,7.2292
0,3,Q,male,40.5,0,0,7.75
1,2,S,female,50,0,0,10.5
0,1,S,male,,0,0,221.7792
0,3,S,male,39,0,0,7.925
0,2,S,male,23,2,1,11.5
1,2,S,female,2,1,1,26
0,3,C,male,,0,0,7.2292
0,3,C,male,17,1,1,7.2292
1,3,C,female,,0,2,22.3583
0,3,S,female,30,0,0,8.6625
1,2,S,female,7,0,2,26.25
0,1,S,male,45,0,0,26.55
1,1,C,female,30,0,0,106.425
0,3,S,male,,0,0,14.5
1,1,C,female,22,0,2,49.5
1,1,S,female,36,0,2,71
0,3,S,female,9,4,2,31.275
0,3,S,female,11,4,2,31.275
1,2,S,male,32,1,0,26
0,1,C,male,50,1,0,106.425
0,1,S,male,64,0,0,26
1,2,S,female,19,1,0,26
1,2,C,male,,0,0,13.8625
0,3,S,male,33,1,1,20.525
1,2,S,male,8,1,1,36.75
1,1,C,male,17,0,2,110.8833
0,2,S,male,27,0,0,26
0,3,Q,male,,0,0,7.8292
1,3,C,male,22,0,0,7.225
1,3,S,female,22,0,0,7.775
0,1,S,male,62,0,0,26.55
1,1,C,female,48,1,0,39.6
0,1,C,male,,0,0,227.525
1,1,S,female,39,1,1,79.65
1,3,S,female,36,1,0,17.4
0,3,Q,male,,0,0,7.75
0,3,S,male,40,0,0,7.8958
0,2,S,male,28,0,0,13.5
0,3,S,male,,0,0,8.05
0,3,S,female,,0,0,8.05
0,3,S,male,24,2,0,24.15
0,3,S,male,19,0,0,7.8958
0,3,S,female,29,0,4,21.075
0,3,C,male,,0,0,7.2292
1,3,S,male,32,0,0,7.8542
1,2,S,male,62,0,0,10.5
1,1,S,female,53,2,0,51.4792
1,1,S,male,36,0,0,26.3875
1,3,Q,female,,0,0,7.75
0,3,S,male,16,0,0,8.05
0,3,S,male,19,0,0,14.5
1,2,S,female,34,0,0,13
1,1,S,female,39,1,0,55.9
0,3,C,female,,1,0,14.4583
1,3,S,male,32,0,0,7.925
1,2,S,female,25,1,1,30
1,1,C,female,39,1,1,110.8833
0,2,S,male,54,0,0,26
0,1,C,male,36,0,0,40.125
0,3,C,male,,0,0,8.7125
1,1,S,female,18,0,2,79.65
0,2,S,male,47,0,0,15
1,1,C,male,60,1,1,79.2
0,3,S,male,22,0,0,8.05
0,3,S,male,,0,0,8.05
0,3,S,male,35,0,0,7.125
1,1,C,female,52,1,0,78.2667
0,3,S,male,47,0,0,7.25
0,3,Q,female,,0,2,7.75
0,2,S,male,37,1,0,26
0,3,S,male,36,1,1,24.15
1,2,S,female,,0,0,33
0,3,S,male,49,0,0,0
0,3,C,male,,0,0,7.225
1,1,C,male,49,1,0,56.9292
1,2,S,female,24,2,1,27
0,3,S,male,,0,0,7.8958
0,1,S,male,,0,0,42.4
0,3,S,male,44,0,0,8.05
1,1,C,male,35,0,0,26.55
0,3,S,male,36,1,0,15.55
0,3,S,male,30,0,0,7.8958
1,1,S,male,27,0,0,30.5
1,2,C,female,22,1,2,41.5792
1,1,S,female,40,0,0,153.4625
0,3,S,female,39,1,5,31.275
0,3,S,male,,0,0,7.05
1,3,Q,female,,1,0,15.5
0,3,Q,male,,0,0,7.75
0,3,S,male,35,0,0,8.05
1,2,S,female,24,1,2,65
0,3,S,male,34,1,1,14.4
0,3,S,female,26,1,0,16.1
1,2,S,female,4,2,1,39
0,2,S,male,26,0,0,10.5
0,3,C,male,27,1,0,14.4542
1,1,S,male,42,1,0,52.5542
1,3,C,male,20,1,1,15.7417
0,3,S,male,21,0,0,7.8542
0,3,S,male,21,0,0,16.1
0,1,S,male,61,0,0,32.3208
0,2,Q,male,57,0,0,12.35
1,1,S,female,21,0,0,77.9583
0,3,S,male,26,0,0,7.8958
0,3,Q,male,,0,0,7.7333
1,1,S,male,80,0,0,30
0,3,S,male,51,0,0,7.0542
1,1,C,male,32,0,0,30.5
0,1,S,male,,0,0,0
0,3,S,female,9,3,2,27.9
1,2,S,female,28,0,0,13
0,3,S,male,32,0,0,7.925
0,2,S,male,31,1,1,26.25
0,3,S,female,41,0,5,39.6875
0,3,S,male,,1,0,16.1
0,3,S,male,20,0,0,7.8542
1,1,C,female,24,0,0,69.3
0,3,S,female,2,3,2,27.9
1,3,S,male,,0,0,56.4958
1,3,C,female,0.75,2,1,19.2583
1,1,C,male,48,1,0,76.7292
0,3,S,male,19,0,0,7.8958
1,1,C,male,56,0,0,35.5
0,3,S,male,,0,0,7.55
1,3,S,female,23,0,0,7.55
0,3,S,male,,0,0,7.8958
1,2,S,female,18,0,1,23
0,3,S,male,21,0,0,8.4333
1,3,Q,female,,0,0,7.8292
0,3,Q,female,18,0,0,6.75
0,2,S,male,24,2,0,73.5
0,3,S,male,,0,0,7.8958
0,3,Q,female,32,1,1,15.5
0,2,S,male,23,0,0,13
0,1,C,male,58,0,2,113.275
1,1,S,male,50,2,0,133.65
0,3,C,male,40,0,0,7.225
0,1,S,male,47,0,0,25.5875
0,3,S,male,36,0,0,7.4958
1,3,S,male,20,1,0,7.925
0,2,S,male,32,2,0,73.5
0,2,S,male,25,0,0,13
0,3,S,male,,0,0,7.775
0,3,S,male,43,0,0,8.05
1,1,S,female,,1,0,52
1,2,S,female,40,1,1,39
0,1,S,male,31,1,0,52
0,2,S,male,70,0,0,10.5
1,2,S,male,31,0,0,13
0,2,S,male,,0,0,0
0,3,S,male,18,0,0,7.775
0,3,S,male,24.5,0,0,8.05
1,3,S,female,18,0,0,9.8417
0,3,S,female,43,1,6,46.9
1,1,C,male,36,0,1,512.3292
0,3,Q,female,,0,0,8.1375
1,1,C,male,27,0,0,76.7292
0,3,S,male,20,0,0,9.225
0,3,S,male,14,5,2,46.9
0,2,S,male,60,1,1,39
0,2,C,male,25,1,2,41.5792
0,3,S,male,14,4,1,39.6875
0,3,S,male,19,0,0,10.1708
0,3,S,male,18,0,0,7.7958
1,1,S,female,15,0,1,211.3375
1,1,S,male,31,1,0,57
1,3,C,female,4,0,1,13.4167
1,3,S,male,,0,0,56.4958
0,3,C,male,25,0,0,7.225
0,1,S,male,60,0,0,26.55
0,2,S,male,52,0,0,13.5
0,3,S,male,44,0,0,8.05
1,3,Q,female,,0,0,7.7333
0,1,C,male,49,1,1,110.8833
0,3,S,male,42,0,0,7.65
1,1,C,female,18,1,0,227.525
1,1,S,male,35,0,0,26.2875
0,3,C,female,18,0,1,14.4542
0,3,Q,male,25,0,0,7.7417
0,3,S,male,26,1,0,7.8542
0,2,S,male,39,0,0,26
1,2,S,female,45,0,0,13.5
1,1,S,male,42,0,0,26.2875
1,1,S,female,22,0,0,151.55
1,3,C,male,,1,1,15.2458
1,1,C,female,24,0,0,49.5042
0,1,S,male,,0,0,26.55
1,1,S,male,48,1,0,52
0,3,S,male,29,0,0,9.4833
0,2,S,male,52,0,0,13
0,3,S,male,19,0,0,7.65
1,1,C,female,38,0,0,227.525
1,2,S,female,27,0,0,10.5
0,3,Q,male,,0,0,15.5
0,3,S,male,33,0,0,7.775
1,2,S,female,6,0,1,33
0,3,S,male,17,1,0,7.0542
0,2,S,male,34,0,0,13
0,2,S,male,50,0,0,13
1,1,S,male,27,1,0,53.1
0,3,S,male,20,0,0,8.6625
1,2,S,female,30,3,0,21
1,3,Q,female,,0,0,7.7375
0,2,S,male,25,1,0,26
0,3,S,female,25,1,0,7.925
1,1,S,female,29,0,0,211.3375
0,3,C,male,11,0,0,18.7875
0,2,S,male,,0,0,0
0,2,S,male,23,0,0,13
0,2,S,male,23,0,0,13
0,3,S,male,28.5,0,0,16.1
0,3,S,female,48,1,3,34.375
1,1,C,male,35,0,0,512.3292
0,3,S,male,,0,0,7.8958
0,3,S,male,,0,0,7.8958
1,1,S,male,,0,0,30
0,1,S,male,36,1,0,78.85
1,1,C,female,21,2,2,262.375
0,3,S,male,24,1,0,16.1
1,3,S,male,31,0,0,7.925
0,1,S,male,70,1,1,71
0,3,S,male,16,1,1,20.25
1,2,S,female,30,0,0,13
0,1,S,male,19,1,0,53.1
0,3,Q,male,31,0,0,7.75
1,2,S,female,4,1,1,23
1,3,S,male,6,0,1,12.475
0,3,S,male,33,0,0,9.5
0,3,S,male,23,0,0,7.8958
1,2,S,female,48,1,2,65
1,2,S,male,0.67,1,1,14.5
0,3,S,male,28,0,0,7.7958
0,2,S,male,18,0,0,11.5
0,3,S,male,34,0,0,8.05
1,1,S,female,33,0,0,86.5
0,3,S,male,,0,0,14.5
0,3,S,male,41,0,0,7.125
1,3,C,male,20,0,0,7.2292
1,1,S,female,36,1,2,120
0,3,S,male,16,0,0,7.775
1,1,S,female,51,1,0,77.9583
0,1,C,male,,0,0,39.6
0,3,Q,female,30.5,0,0,7.75
0,3,Q,male,,1,0,24.15
0,3,S,male,32,0,0,8.3625
0,3,S,male,24,0,0,9.5
0,3,S,male,48,0,0,7.8542
0,2,S,female,57,0,0,10.5
0,3,C,male,,0,0,7.225
1,2,S,female,54,1,3,23
0,3,S,male,18,0,0,7.75
0,3,Q,male,,0,0,7.75
1,3,S,female,5,0,0,12.475
